Indicators,sub indicators,NFHS-5 (2019-20),STATE/UT
Gender Based Violence (age 18-49 years),Young women age 18-29 years who experienced sexual violence by age (%),0.0,Uttarakhand
Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have ever experienced spousal violence (%),9.7,Chandigarh
Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),0.0,Chandigarh
Gender Based Violence (age 18-49 years),Young women age 18-29 years who experienced sexual violence by age (%),*,Chandigarh
Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have ever experienced spousal violence (%),22.8,NCT Delhi
Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),3.7,NCT Delhi
Gender Based Violence (age 18-49 years),Young women age 18-29 years who experienced sexual violence by age (%),1.6,NCT Delhi
Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have ever experienced spousal violence (%),29.8,Puducherry
Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),1.3,Puducherry
Gender Based Violence (age 18-49 years),Young women age 18-29 years who experienced sexual violence by age (%),0.0,Puducherry
