S.No.,indicator code,Indicators,sub indicators,NFHS-5 (2019-20),Unnamed: 5,Unnamed: 6,NFHS-4 2015-16,STATE/UT
893.0,107.0,Hypertension among Adults (age 15 years and above) - Women,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%) - Women,21.1,20.1,20.6,na,Gujarat
896.0,110.0,Hypertension among Adults (age 15 years and above) - Men,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%) - Men,20.3,20.3,20.3,na,Gujarat
911.0,125.0,Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have ever experienced spousal violence (%),10.0,16.8,14.0,20.2,Gujarat
912.0,126.0,Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),2.2,1.2,1.6,1.9,Gujarat
913.0,127.0,Gender Based Violence (age 18-49 years),Young women age 18-29 years who experienced sexual violence by age (%),3.0,4.0,3.6,5.2,Gujarat
914.0,128.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Women age 15 years and above who use any kind of tobacco (%),5.4,11.0,8.7,na,Gujarat
915.0,129.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Men age 15 years and above who use any kind of tobacco (%),33.6,46.7,41.1,na,Gujarat
916.0,130.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Women age 15 years and above who consume alcohol (%),0.3,0.8,0.6,na,Gujarat
917.0,131.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Men age 15 years and above who consume alcohol (%),4.6,6.8,5.8,na,Gujarat
1018.0,101.0,Blood Sugar Level among Adults (age 15 years and above) - Women,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%) - Women,15.4,13.7,13.9,na,Himachal Pradesh
1021.0,104.0,Blood Sugar Level among Adults (age 15 years and above) - Men,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%) - Men,18.3,14.2,14.7,na,Himachal Pradesh
1024.0,107.0,Hypertension among Adults (age 15 years and above) - Women,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%) - Women,22.1,22.2,22.2,na,Himachal Pradesh
1027.0,110.0,Hypertension among Adults (age 15 years and above) - Men,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%) - Men,29.1,23.6,24.4,na,Himachal Pradesh
1042.0,125.0,Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have ever experienced spousal violence (%),6.0,8.7,8.3,5.9,Himachal Pradesh
1043.0,126.0,Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),0.0,0.7,0.6,1.5,Himachal Pradesh
1044.0,127.0,Gender Based Violence (age 18-49 years),Young women age 18-29 years who experienced sexual violence by age (%),0.0,2.8,2.5,2.8,Himachal Pradesh
1045.0,128.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Women age 15 years and above who use any kind of tobacco (%),1.2,1.7,1.7,na,Himachal Pradesh
1046.0,129.0,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Men age 15 years and above who use any kind of tobacco (%),25.4,33.4,32.3,na,Himachal Pradesh
